#Radius/Reff Vcirc/[km/s]
0.05000000074505806 12.507915377249864
0.05359390005469322 13.308161839154973
0.05744611471891403 14.177461669189501
0.06157522276043892 15.119275834976937
0.06600112468004227 16.137428087864723
0.07074514776468277 17.23611894547428
0.07583016157150269 18.41993739892975
0.0812806785106659 19.69387080477634
0.08712296932935715 21.063313155457177
0.09338518977165222 22.534071661882653
0.10009751468896866 24.112371327141744
0.10729232430458069 25.804856935964203
0.1150042787194252 27.618591621128875
0.12327054888010025 29.561050885017245
0.13213098049163818 31.640110640656548
0.14162828028202057 33.86402748045834
0.1518082171678543 36.24140897121259
0.16271989047527313 38.78117130010837
0.17441585659980774 41.49248104914947
0.18695250153541565 44.38467724697014
0.2003902643918991 47.4671691340076
0.21479390561580658 50.749304281453355
0.230232834815979 54.240200837863945
0.24678149819374084 57.948536765312404
0.26451966166496277 61.88228801575848
0.2835327982902527 66.04840676382254
0.30391255021095276 70.45243017171575
0.32575714588165283 75.09800988947086
0.34917187690734863 79.98635283730522
0.37426963448524475 85.11556512121638
0.40117138624191284 90.47989366011863
0.430006742477417 96.06886485312062
0.4609147608280182 101.86632713713279
0.49404436349868774 107.84941546304073
0.5295552015304565 113.98747152375881
0.5676185488700867 120.2409749349284
0.608417809009552 126.56056816926285
0.6521496772766113 132.88629189430162
0.6990247964859009 139.14718621598985
0.7492693066596985 145.26145381664932
0.8031252026557922 151.1374164799366
0.8608521819114685 156.6755159071402
0.9227284789085388 161.7715964193259
0.9890522956848145 166.32163890124482
1.0601433515548706 170.22796658891193
1.1363441944122314 173.40669141135993
1.218022346496582 175.7958075264412
1.30557119846344 177.36289492214902
1.399412989616394 178.11095882107054
1.4999998807907104 178.08066542380826
